# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = model_model
# start_datetime = 2021-09-16 15:02:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.025000000000000001
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = ./maud_output-linear-20210916170220/samples/input_data.json
# init = ./maud_output-linear-20210916170220/samples/inits.json
# random
#   seed = 58632
# output
#   file = /Users/tedgro/dtu/projects/maud_demo/maud_output-linear-20210916170220/samples/model-202109161702-1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.27.0
# stancflags = --include_paths=/Users/tedgro/Code/Maud/src/maud,/Users/tedgro/Code/Maud/src/maud
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dgf_z.1,dgf_z.2,log_kcat_z.1,log_kcat_z.2,log_kcat_z.3,log_km_z.1,log_km_z.2,log_km_z.3,log_km_z.4,log_km_z.5,log_km_z.6,log_conc_enzyme_z.1.1,log_conc_enzyme_z.2.1,log_conc_enzyme_z.1.2,log_conc_enzyme_z.2.2,log_conc_enzyme_z.1.3,log_conc_enzyme_z.2.3,log_conc_unbalanced_z.1.1,log_conc_unbalanced_z.2.1,log_conc_unbalanced_z.1.2,log_conc_unbalanced_z.2.2,log_ki_z.1,log_diss_t_z.1,log_diss_r_z.1,log_transfer_constant_z.1,log_transfer_constant_z.2,dgf.1,dgf.2,km.1,km.2,km.3,km.4,km.5,km.6,ki.1,kcat.1,kcat.2,kcat.3,diss_t.1,diss_r.1,transfer_constant.1,transfer_constant.2,conc_enzyme.1.1,conc_enzyme.2.1,conc_enzyme.1.2,conc_enzyme.2.2,conc_enzyme.1.3,conc_enzyme.2.3,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc.1.1,conc.2.1,conc.1.2,conc.2.2,conc.1.3,conc.2.3,conc.1.4,conc.2.4,flux.1.1,flux.2.1,flux.1.2,flux.2.2,flux.1.3,flux.2.3,keq.1,keq.2,keq.3,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yconc_sim.6,yconc_sim.7,yconc_sim.8,yflux_sim.1,yflux_sim.2,log_lik_conc.1,log_lik_conc.2,log_lik_conc.3,log_lik_conc.4,log_lik_conc.5,log_lik_conc.6,log_lik_conc.7,log_lik_conc.8,log_lik_flux.1,log_lik_flux.2
-6734.45,0,0.05,0,1,1,6744.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0.2,0.2,0.2,0.2,0.2,0.2,1,2,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.1,0.1,0.369406,0.433708,0.5,0.6,0.207278,0.224985,0.1,0.1,0.0211476,0.0238074,0.0211477,0.0238074,0.0211478,0.0238074,1,1.49693,1,0.367486,0.504604,0.211831,0.099444,0.394726,0.696494,0.256243,0.0864697,-0.123577,0.172034,-18.6875,2.07679,-19.309,3.68623,1.06524,1.89447,-14.256,-21.0296,-2.23043,-0.349738
-6734.45,0,0.0413247,0,1,1,6748.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0.2,0.2,0.2,0.2,0.2,0.2,1,2,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.1,0.1,0.369406,0.433708,0.5,0.6,0.207278,0.224985,0.1,0.1,0.0211476,0.0238074,0.0211477,0.0238074,0.0211478,0.0238074,1,1.49693,1,0.357087,0.552558,0.195162,0.0934075,0.38661,0.574831,0.240521,0.0822043,0.0756233,0.0830451,-18.6875,2.07679,-19.309,3.68623,1.06524,1.89447,-14.256,-21.0296,-2.23043,-0.349738
-5531.84,1,0.00235033,3,7,0,6743.06,0.0111573,-0.00284558,0.00302026,0.000597029,-0.0036967,-0.00159127,-0.00580568,0.00431265,0.0206938,0.00130916,0.00307099,0.181373,-0.00946268,0.0966967,0.0528866,0.0781744,0.0706803,-0.00359049,-0.00076827,-0.0154921,0.00872681,0.00484067,0.0072865,-0.00637946,-0.0106639,-0.01165,-0.999442,-2.00014,0.199809,0.199305,0.200518,0.202499,0.200157,0.200369,1.00291,2.00363,1.00036,0.997784,1.00438,0.99618,0.993622,0.993034,0.143727,0.0981253,0.121336,0.111157,0.116923,0.115184,0.499641,0.599908,0.0969491,0.101761,0.385047,0.417879,0.499641,0.599908,0.212623,0.219548,0.0969491,0.101761,0.0264802,0.0259652,0.0264802,0.0259652,0.0264802,0.0259652,1,1.49736,1,0.360877,0.508543,0.215848,0.0927826,0.407704,0.519923,0.253538,0.100406,-0.0940782,0.0134128,-16.1228,2.07677,-17.6677,3.63823,0.4673,1.89447,-15.6937,-19.835,-2.08849,-0.309794
-5369.55,1,0.00131261,3,7,0,5544.67,0.0123857,0.00229503,0.000602901,0.00595982,-0.00253346,-0.000203967,-0.0124549,0.00430187,0.0185928,-0.00206121,0.00374725,0.206178,-0.00592862,0.112055,0.0576486,0.09253,0.0807844,-0.00651437,-0.00235132,-0.0157431,0.0169104,0.0122221,0.012358,-0.00471381,-0.00495172,-0.00611583,-0.999381,-1.99989,0.199976,0.198511,0.200517,0.202244,0.199753,0.20045,1.00736,2.00072,1.00358,0.998481,1.00744,0.997176,0.997033,0.996337,0.151037,0.0988213,0.125121,0.112221,0.120329,0.117535,0.499349,0.599718,0.0969004,0.10344,0.386401,0.417549,0.499349,0.599718,0.213209,0.220195,0.0969004,0.10344,0.0274257,0.0261975,0.0274257,0.0261975,0.0274256,0.0261975,1,1.49724,1,0.423453,0.565067,0.193388,0.102494,0.477923,0.506562,0.232831,0.100828,0.0735117,0.229014,-15.9136,2.07671,-17.4942,3.63666,0.453072,1.89446,-15.5176,-18.7425,-2.06362,-0.305522
-5133.2,1,0.000924466,3,7,0,5383.81,0.0206296,0.00032579,-0.00288376,0.00726646,0.012551,0.00388968,-0.0104781,0.00723375,0.0208773,-0.00495585,-0.00321088,0.243262,-0.00681258,0.127614,0.0732903,0.109308,0.101174,-0.00169586,-0.00221586,-0.0115934,0.0221384,0.00440273,0.0157777,0.00151015,-0.000789712,-0.00892505,-0.998969,-1.99998,0.200467,0.198747,0.20087,0.202521,0.199406,0.199615,1.00265,1.99654,1.00437,1.00756,1.00951,1.00091,0.999526,0.994659,0.162665,0.0986467,0.129075,0.115787,0.124435,0.122427,0.49983,0.599734,0.097708,0.104527,0.390098,0.412707,0.49983,0.599734,0.214007,0.218266,0.097708,0.104527,0.0285333,0.0268728,0.0285333,0.0268728,0.0285333,0.0268728,1,1.49755,1,0.400418,0.491199,0.215713,0.104132,0.395638,0.635234,0.241213,0.0911842,-0.0177488,0.0447499,-15.3524,2.07679,-17.2599,3.65935,0.236094,1.89446,-16.0467,-18.0586,-2.0346,-0.293133
-5034.03,1,0.000746533,3,7,0,5146.13,0.0189128,0.00529607,-0.00667364,0.00824677,0.011467,0.00414077,-0.0085043,0.00808987,0.0257595,-0.0129821,-0.00558499,0.258506,-0.00625838,0.134898,0.0810854,0.118988,0.107884,-0.00414284,-0.00188959,-0.0130978,0.0233053,0.00422281,0.0110645,0.00604511,-0.00297828,-0.00549123,-0.999054,-1.99974,0.200498,0.198982,0.200973,0.203115,0.198448,0.199331,1.00254,1.99201,1.00496,1.0069,1.00666,1.00363,0.998215,0.996711,0.167701,0.0987561,0.13097,0.117606,0.126868,0.124081,0.499586,0.599773,0.0974144,0.104771,0.390725,0.410647,0.499586,0.599773,0.213249,0.218011,0.0974144,0.104771,0.0290893,0.0271676,0.0290893,0.0271676,0.0290893,0.0271676,1,1.49734,1,0.397182,0.412945,0.222225,0.0921482,0.391751,0.663123,0.209401,0.0986652,-0.169626,0.0101912,-15.2585,2.07676,-17.4824,3.65192,0.138828,1.89447,-16.1175,-17.9074,-2.02007,-0.287738
-4918.49,1,0.000657999,4,15,0,5039.97,0.017542,0.0066223,-0.00764809,0.00829475,0.00743382,0.004666,-0.00978023,0.00899559,0.0235532,-0.0113321,-0.00745621,0.278449,-0.0057462,0.143668,0.0841339,0.128477,0.117614,-0.00481202,-0.00387256,-0.0116862,0.0229209,0.00328103,0.00958725,0.0103346,-0.00945965,-0.00315175,-0.999123,-1.99967,0.200561,0.19883,0.201082,0.202846,0.198645,0.199107,1.00197,1.99084,1.00499,1.00447,1.00577,1.00622,0.99434,0.998111,0.174525,0.0988573,0.133287,0.118325,0.129299,0.12652,0.499519,0.599535,0.0976899,0.104691,0.392786,0.409496,0.499519,0.599535,0.214185,0.216568,0.0976899,0.104691,0.0296497,0.02736,0.0296497,0.02736,0.0296497,0.02736,1,1.49726,1,0.397905,0.522196,0.202934,0.103502,0.433015,0.545764,0.220722,0.117425,-0.133611,0.123792,-14.9532,2.07675,-17.2078,3.65892,0.0831734,1.89444,-16.523,-17.9571,-2.00547,-0.284222
-4507.43,0.999936,0.000615112,4,15,0,4929.11,0.0225859,-0.000190625,-0.0104733,0.0118926,0.0062669,-0.00150248,-0.00727427,0.00380059,0.0164584,-0.00750331,-0.00278382,0.343346,-0.00946457,0.162871,0.115027,0.163298,0.166547,-0.010588,-0.00428113,-0.0120743,0.0268008,0.00564038,0.0136909,0.014412,-0.0130267,-0.00331277,-0.998871,-2.00001,0.19982,0.199129,0.200457,0.201985,0.199102,0.199666,1.00339,1.98747,1.00716,1.00377,1.00825,1.00868,0.992214,0.998014,0.198713,0.0981249,0.138506,0.125867,0.138624,0.139528,0.498942,0.599486,0.0976141,0.105506,0.398419,0.398547,0.498942,0.599486,0.213174,0.211751,0.0976141,0.105506,0.0315528,0.0288336,0.0315528,0.0288336,0.0315528,0.0288336,1,1.49762,1,0.439164,0.485261,0.211224,0.0996265,0.440434,0.569718,0.17588,0.10988,-0.108782,0.0291666,-14.1406,2.07657,-17.5045,3.65707,-0.494723,1.89444,-17.9283,-17.4578,-1.9561,-0.257416
-4363.66,0.999964,0.000598866,4,15,0,4520.6,0.0330464,-0.00180255,-0.00682959,0.00729619,0.00619794,-0.00249339,-0.01132,0.00301048,0.0120719,-0.00892184,-0.00376613,0.369894,-0.00973043,0.169043,0.123012,0.175893,0.182257,-0.0138561,-0.0115272,-0.0105197,0.0279993,0.0134587,0.022378,0.0133828,-0.0125774,-0.00165703,-0.998348,-2.00009,0.199701,0.198646,0.200362,0.201454,0.198932,0.199549,1.00811,1.99182,1.00439,1.00373,1.01352,1.00806,0.992482,0.999006,0.209549,0.0980727,0.140226,0.127893,0.14216,0.143981,0.498616,0.598618,0.097918,0.10576,0.401498,0.395979,0.498616,0.598618,0.212809,0.209731,0.097918,0.10576,0.0321856,0.0292275,0.0321855,0.0292275,0.0321854,0.0292275,1,1.49798,1,0.376029,0.499241,0.18818,0.0843303,0.38794,0.724425,0.247174,0.119434,0.0743252,-0.132615,-13.7096,2.07641,-17.6124,3.6641,-0.643417,1.89421,-18.5425,-17.3048,-1.93977,-0.250289
-4133.97,0.999986,0.000600236,4,15,0,4380.69,0.0393261,0.00386611,-0.00690834,0.00769626,0.0185521,-0.000705199,-0.0128887,-0.00105651,0.00543665,-0.00720283,-0.000183076,0.406377,-0.00929845,0.193211,0.142993,0.189704,0.209167,-0.019877,-0.00692327,-0.0117489,0.024015,0.00910796,0.0245497,0.00892812,0.000156717,0.0019736,-0.998034,-1.99981,0.199915,0.198459,0.199873,0.200653,0.199138,0.199978,1.00548,1.99173,1.00463,1.01119,1.01484,1.00537,1.00009,1.00118,0.225411,0.0981575,0.147171,0.133107,0.146142,0.151943,0.498016,0.59917,0.0976776,0.10492,0.403223,0.389656,0.498016,0.59917,0.214393,0.20552,0.0976776,0.10492,0.0337668,0.0303583,0.0337668,0.0303583,0.0337668,0.0303583,1,1.498,1,0.443427,0.507854,0.198128,0.104419,0.412478,0.555797,0.237308,0.101467,0.0956893,-0.0994233,-13.4723,2.076,-17.1471,3.65862,-1.03181,1.89438,-19.8726,-17.8157,-1.89913,-0.229911
-4112.38,0.999994,0.000614329,5,31,0,4147.09,0.0353049,0.00258892,-0.00969291,0.0100438,0.0200032,-0.00396939,-0.0102056,-0.00264807,0.00569349,-0.00529222,-0.000603938,0.408214,-0.00853428,0.196432,0.145837,0.191932,0.211753,-0.0175267,-0.0089094,-0.0118066,0.0269009,0.0100225,0.0249555,0.0103923,0.00113282,0.00325113,-0.998235,-1.99987,0.199524,0.198779,0.199682,0.200684,0.199366,0.199928,1.00603,1.9884,1.00604,1.01207,1.01509,1.00625,1.00068,1.00195,0.226241,0.0983076,0.148122,0.133867,0.146795,0.152731,0.49825,0.598932,0.0976663,0.105528,0.402883,0.388702,0.49825,0.598932,0.214647,0.206094,0.0976663,0.105528,0.0339856,0.0304392,0.0339851,0.0304392,0.0339838,0.0304392,1,1.49792,1,0.443819,0.586764,0.200525,0.104368,0.372373,0.653856,0.179094,0.106293,-0.0164263,0.0118309,-13.5189,2.07618,-17.0735,3.65835,-1.09325,1.89431,-19.6874,-17.445,-1.89357,-0.228458
-3906.51,1,0.000638368,4,15,0,4124.02,0.032398,0.0109657,-0.00492407,0.0121296,0.0212942,-0.000903294,-0.015734,-0.00357536,-0.000838355,-0.00581883,-0.000593399,0.440902,-0.00413983,0.214856,0.166348,0.206933,0.23687,-0.0166403,-0.00521012,-0.00288442,0.0325506,0.0103805,0.0386649,0.00277594,7.06488e-05,0.00371694,-0.99838,-1.99945,0.199892,0.198121,0.199571,0.199899,0.199303,0.199929,1.00625,1.9941,1.0073,1.01286,1.02347,1.00167,1.00004,1.00223,0.241525,0.0991755,0.153681,0.139472,0.151265,0.160599,0.498339,0.599375,0.0994248,0.106727,0.406145,0.385394,0.498339,0.599375,0.218059,0.205735,0.0994248,0.106727,0.0351923,0.0314903,0.0351923,0.0314903,0.0351923,0.0314903,1,1.49758,1,0.426333,0.426249,0.222486,0.108876,0.489152,0.56993,0.197885,0.0966053,0.0619084,-0.00248025,-13.0766,2.07624,-16.1044,3.68457,-1.31208,1.89442,-19.803,-16.729,-1.8627,-0.209639
-3889.14,1,0.000670736,3,7,0,3915.34,0.0342683,0.0131386,-0.00446918,0.0112662,0.0223076,-0.000202971,-0.0158348,-0.00329235,-0.000957508,-0.00481876,-0.000480925,0.444716,-0.00459401,0.215564,0.167593,0.207723,0.2392,-0.0156657,-0.00325756,-0.00177023,0.0314737,0.010191,0.0363079,0.00213414,-0.000560895,0.00525065,-0.998287,-1.99934,0.199976,0.198109,0.199605,0.199885,0.199423,0.199942,1.00613,1.99464,1.00678,1.01347,1.02202,1.00128,0.999664,1.00316,0.243375,0.0990854,0.153899,0.13982,0.151505,0.161349,0.498436,0.599609,0.0996466,0.106497,0.406815,0.384985,0.498436,0.599609,0.218332,0.205116,0.0996466,0.106497,0.0352391,0.0315736,0.0352391,0.0315736,0.0352391,0.0315736,1,1.49757,1,0.36959,0.550637,0.202466,0.0958813,0.35689,0.583634,0.22749,0.106808,0.0536683,0.0578086,-12.9871,2.0763,-16.0285,3.6856,-1.33983,1.89445,-20.0038,-16.8645,-1.86151,-0.208153
