# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = model_model
# start_datetime = 2021-09-19 14:32:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.025000000000000001
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = ./maud_output-linear-20210919163223/samples/input_data.json
# init = ./maud_output-linear-20210919163223/samples/inits.json
# random
#   seed = 88704
# output
#   file = /Users/tedgro/dtu/projects/maud_demo/maud_output-linear-20210919163223/samples/model-202109191632-2.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.27.0
# stancflags = --include_paths=/Users/tedgro/Code/Maud/src/maud,/Users/tedgro/Code/Maud/src/maud
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dgf_z.1,dgf_z.2,log_kcat_z.1,log_kcat_z.2,log_kcat_z.3,log_km_z.1,log_km_z.2,log_km_z.3,log_km_z.4,log_km_z.5,log_km_z.6,log_conc_enzyme_z.1.1,log_conc_enzyme_z.2.1,log_conc_enzyme_z.1.2,log_conc_enzyme_z.2.2,log_conc_enzyme_z.1.3,log_conc_enzyme_z.2.3,log_conc_unbalanced_z.1.1,log_conc_unbalanced_z.2.1,log_conc_unbalanced_z.1.2,log_conc_unbalanced_z.2.2,log_ki_z.1,log_diss_t_z.1,log_diss_r_z.1,log_transfer_constant_z.1,log_transfer_constant_z.2,dgf.1,dgf.2,km.1,km.2,km.3,km.4,km.5,km.6,ki.1,kcat.1,kcat.2,kcat.3,diss_t.1,diss_r.1,transfer_constant.1,transfer_constant.2,conc_enzyme.1.1,conc_enzyme.2.1,conc_enzyme.1.2,conc_enzyme.2.2,conc_enzyme.1.3,conc_enzyme.2.3,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc.1.1,conc.2.1,conc.1.2,conc.2.2,conc.1.3,conc.2.3,conc.1.4,conc.2.4,flux.1.1,flux.2.1,flux.1.2,flux.2.2,flux.1.3,flux.2.3,keq.1,keq.2,keq.3,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yconc_sim.6,yconc_sim.7,yconc_sim.8,yflux_sim.1,yflux_sim.2,log_lik_conc.1,log_lik_conc.2,log_lik_conc.3,log_lik_conc.4,log_lik_conc.5,log_lik_conc.6,log_lik_conc.7,log_lik_conc.8,log_lik_flux.1,log_lik_flux.2
-3179.42,0,0.1,0,1,1,3189.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0.2,0.2,0.2,0.2,0.2,0.2,1,2,1,1,1,1,1,1,0.214476,0.214476,0.214476,0.214476,0.214476,0.214476,0.5,0.6,0.1,0.1,0.369406,0.433708,0.5,0.6,0.207278,0.224985,0.1,0.1,0.0453568,0.0510611,0.0453568,0.0510611,0.0453568,0.0510611,1,1.49693,1,0.362603,0.501437,0.204204,0.104602,0.388244,0.680508,0.227956,0.102439,-0.0942849,0.0233573,-18.6875,2.07679,-19.3092,3.68623,1.06524,1.89447,-14.256,-21.0296,-1.60887,0.120569
-150.235,1,0.0583766,2,3,0,1406.97,0.00130636,0.111175,0.0318069,-0.0575296,-0.0979326,-0.0251756,-0.000425201,-0.0305899,0.0760845,-0.0136971,0.0283899,1.46404,1.73632,1.37542,0.824197,1.2254,1.68565,0.0391972,0.0529831,0.196821,0.419442,-0.0687808,-0.0511599,0.000756721,-0.00313655,0.00567209,-0.999935,-1.99444,0.197002,0.199949,0.196363,0.209342,0.198363,0.203436,0.959571,2.03853,0.966071,0.942933,0.96977,1.00045,0.99812,1.00341,1.47657,2.11389,1.31383,0.635434,1.07815,1.97735,0.503935,0.606392,0.148237,0.231378,0.408567,0.550966,0.503935,0.606392,0.288159,0.291688,0.148237,0.231378,0.225411,0.157125,0.225411,0.157125,0.225411,0.157125,1,1.49362,1,0.348753,0.519162,0.308159,0.14466,0.546267,0.635601,0.299298,0.228831,0.164217,0.205483,-12.7547,2.07372,-3.07764,-4.06149,1.60571,1.88886,-2.68589,1.93113,1.17506,1.24386
-63.8653,1,0.0607792,4,31,0,107.191,-0.78944,-0.263127,2.4969,0.750639,-1.94391,-0.0834339,0.579062,-0.400285,0.416735,1.146,-0.280786,1.07792,1.42207,1.06094,0.698779,1.25862,1.46648,1.61568,-0.337859,-0.0552429,0.316783,-0.366362,-0.203137,-1.45982,0.350013,0.134442,-1.03947,-2.01316,0.190234,0.283087,0.157299,0.256816,0.397786,0.168991,0.802665,8.94673,1.56891,0.311504,0.885253,0.41649,1.23369,1.08401,0.887726,1.39713,0.868074,0.538633,1.12641,1.48133,0.690726,0.560796,0.0895399,0.188432,0.648971,0.544312,0.690726,0.560796,0.674608,0.526124,0.0895399,0.188432,0.159988,0.113952,0.159991,0.113952,0.159987,0.113952,1,1.48112,1,0.669459,0.857741,0.707376,0.0997543,0.49366,0.612859,0.559405,0.200569,0.0682398,0.076951,1.45385,-3.14403,-11.3591,3.07588,1.71626,1.66617,-1.45582,2.81559,0.538474,0.922383
-63.8653,3.10069e-13,0.0861064,1,3,1,78.2441,-0.78944,-0.263127,2.4969,0.750639,-1.94391,-0.0834339,0.579062,-0.400285,0.416735,1.146,-0.280786,1.07792,1.42207,1.06094,0.698779,1.25862,1.46648,1.61568,-0.337859,-0.0552429,0.316783,-0.366362,-0.203137,-1.45982,0.350013,0.134442,-1.03947,-2.01316,0.190234,0.283087,0.157299,0.256816,0.397786,0.168991,0.802665,8.94673,1.56891,0.311504,0.885253,0.41649,1.23369,1.08401,0.887726,1.39713,0.868074,0.538633,1.12641,1.48133,0.690726,0.560796,0.0895399,0.188432,0.648971,0.544312,0.690726,0.560796,0.674608,0.526124,0.0895399,0.188432,0.159988,0.113952,0.159991,0.113952,0.159987,0.113952,1,1.48112,1,0.702841,0.833914,0.747907,0.0884571,0.566111,0.534985,0.581699,0.222791,-0.00422353,0.360625,1.45385,-3.14403,-11.3591,3.07588,1.71626,1.66617,-1.45582,2.81559,0.538474,0.922383
-67.5744,0.998923,0.00810831,7,127,0,77.3156,-0.856621,-0.777208,2.93713,-0.636197,-0.15516,-0.830825,1.18717,0.262162,-0.414915,1.23446,-0.755934,1.08579,1.42652,1.12204,0.704523,1.19843,1.46237,-0.609549,-0.938671,0.105466,0.424748,0.0604727,-0.289276,-1.05931,0.118471,-0.332349,-1.04283,-2.03886,0.121489,0.407736,0.234069,0.155924,0.41947,0.127072,1.03695,11.6514,0.682688,0.911106,0.840662,0.529626,1.07367,0.819215,0.896971,1.40535,0.940867,0.542726,1.04051,1.47333,0.442614,0.497301,0.123483,0.233847,0.414812,0.485858,0.442614,0.497301,0.25402,0.308279,0.123483,0.233847,0.114467,0.0666234,0.114467,0.0666234,0.114467,0.0666234,1,1.49454,1,0.412901,0.431064,0.226695,0.143541,0.446395,0.510003,0.329339,0.249027,0.277571,0.140628,-11.9495,1.33369,-8.00818,1.46164,2.03563,0.132265,-1.09205,1.77084,-0.156937,0.355804
-56.9525,0.991244,0.0126395,8,255,0,79.7438,-1.99683,0.570931,2.12443,-0.356688,-0.875006,-0.798817,0.284204,0.409969,-0.211511,-0.833846,0.0535596,1.11493,1.44208,1.19815,0.700757,1.13653,1.45224,0.927605,-0.396907,0.203713,0.435442,-0.99739,-0.496682,1.26404,-1.64705,0.24028,-1.09984,-1.97145,0.123845,0.237185,0.255775,0.176163,0.121269,0.206532,0.549672,7.15494,0.807338,0.591553,0.742295,2.13491,0.372234,1.15508,0.932088,1.43445,1.04013,0.540039,0.959007,1.4538,0.601923,0.554213,0.150294,0.238902,0.555204,0.539613,0.601923,0.554213,0.288387,0.289351,0.150294,0.238902,0.157341,0.078755,0.15734,0.078755,0.15734,0.078755,1,1.42137,1,0.504304,0.593791,0.286766,0.153981,0.502784,0.524914,0.278257,0.233823,0.0258915,0.14719,-0.944945,0.355892,-3.05182,-4.61353,1.78613,1.5794,-2.94321,1.41358,0.503716,0.522384
-59.5085,0.866325,0.0209442,7,127,0,76.6067,0.530933,-0.600389,0.800061,0.0722492,-0.538196,3.1124,-1.55542,-3.45437,-0.392848,0.895139,-1.54506,1.18097,1.52408,1.07762,0.557684,1.1619,1.45328,1.74512,-0.148035,-0.0632078,0.253309,1.16016,-0.950535,0.297579,0.821771,-0.50128,-0.973453,-2.03002,1.29434,0.0786546,0.0251711,0.158002,0.342202,0.0791448,2.00591,3.23227,1.0443,0.724033,0.565344,1.19548,1.63732,0.740249,1.01684,1.59815,0.887375,0.447244,0.991606,1.45578,0.708842,0.582496,0.0881248,0.165967,0.631773,0.554092,0.708842,0.582496,0.600383,0.428309,0.0881248,0.165967,0.277859,0.185818,0.277859,0.185818,0.277859,0.185818,1,1.53148,1,0.686529,0.761296,0.595104,0.0751698,0.525087,0.618793,0.505758,0.146207,0.174418,0.240605,1.2145,-4.01411,-5.94604,2.88719,1.54921,1.85064,2.06614,1.25344,1.37628,1.35441
-45.9394,0.915699,0.0247093,5,31,0,69.8912,0.615148,-0.214718,0.388983,-0.18168,-0.157564,2.64707,-1.66588,-3.66252,-0.348379,0.47997,-1.10978,1.16313,1.40851,1.22181,0.720479,1.20041,1.4968,1.05155,-0.178351,-0.0254802,0.37858,1.15084,-1.02063,0.129986,0.849442,-0.070546,-0.969243,-2.01074,0.979029,0.0736104,0.0222158,0.162275,0.266747,0.102766,1.99472,2.52575,0.896723,0.909793,0.54206,1.08111,1.66473,0.958556,0.993218,1.37239,1.07307,0.554258,1.04322,1.54172,0.617031,0.578975,0.0950316,0.213221,0.506928,0.532045,0.617031,0.578975,0.432116,0.393048,0.0950316,0.213221,0.338361,0.207899,0.338361,0.207899,0.338361,0.207899,1,1.5222,1,0.438086,0.623772,0.54411,0.12386,0.561322,0.5284,0.382296,0.201602,0.311008,0.0667249,-3.46682,-0.134732,2.00171,3.55638,1.88384,1.83085,2.28457,2.7882,1.26671,1.38343
-42.3922,0.927994,0.0347593,7,127,0,62.3475,-0.453086,0.307714,1.69319,2.09964,-0.839463,-1.7481,0.521348,2.09367,1.17922,0.325306,0.705689,1.20688,1.47501,1.13091,0.675649,1.07832,1.46924,0.954635,0.263706,0.00919912,0.374558,-0.933543,1.21273,-0.296807,-0.974627,0.193698,-1.02265,-1.98461,0.0700674,0.273452,0.70241,0.405796,0.243107,0.305433,0.571137,5.52376,3.52467,0.604304,2.07018,0.836872,0.557231,1.12324,1.05216,1.49807,0.95193,0.522463,0.88819,1.48673,0.605186,0.632494,0.101857,0.211513,0.49424,0.564376,0.605186,0.632494,0.401313,0.362568,0.101857,0.211513,0.221545,0.175334,0.221545,0.175335,0.221545,0.175334,1,1.47414,1,0.548888,0.551664,0.411261,0.0950462,0.511517,0.611336,0.38596,0.202898,0.113647,0.010542,-4.31694,0.254139,2.2994,3.66931,1.34337,1.75539,1.81727,2.83645,1.14934,1.32356
-36.2217,0.653347,0.051578,6,63,0,49.9464,-0.710297,-0.999335,1.99298,0.98504,-1.2476,-1.62198,-0.328308,1.39961,-0.240198,0.575079,0.565566,1.16643,1.46766,1.19569,0.640333,1.21612,1.46003,0.904457,-0.427422,-0.0248594,0.340312,-1.30812,0.706119,-0.37462,0.00207719,-0.656877,-1.03551,-2.04997,0.0755755,0.164241,0.463166,0.173157,0.282411,0.280804,0.456177,6.61231,1.80584,0.473046,1.52756,0.798699,1.00125,0.674269,0.997544,1.48364,1.03675,0.498706,1.06504,1.46879,0.599142,0.55084,0.0951497,0.197511,0.54021,0.528901,0.599142,0.55084,0.38111,0.323243,0.0951497,0.197511,0.189741,0.108617,0.189765,0.108617,0.189763,0.108616,1,1.50569,1,0.554799,0.675851,0.388365,0.102529,0.660761,0.50888,0.29707,0.180923,0.195147,0.185639,-1.61688,0.44071,2.18293,3.56263,1.91891,1.52909,0.0302054,2.98524,0.881273,0.869707
