# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 0.025000000000000001
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = ./maud_output-G6Pto6PGC-20210910123733/samples/input_data.json
# init = ./maud_output-G6Pto6PGC-20210910123733/samples/inits.json
# random
#   seed = 11091
# output
#   file = /home/shannara/models/maud_output-G6Pto6PGC-20210910123733/samples/model-202109101237-1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 ea3a31b
# stancflags = --include_paths=/home/shannara/Maud/src/maud,/home/shannara/Maud/src/maud
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dgf_z.1,dgf_z.2,dgf_z.3,dgf_z.4,dgf_z.5,drain_z.1.1,drain_z.2.1,drain_z.3.1,drain_z.4.1,drain_z.5.1,drain_z.1.2,drain_z.2.2,drain_z.3.2,drain_z.4.2,drain_z.5.2,log_kcat_z.1,log_kcat_z.2,log_km_z.1,log_km_z.2,log_km_z.3,log_conc_enzyme_z.1.1,log_conc_enzyme_z.2.1,log_conc_enzyme_z.3.1,log_conc_enzyme_z.4.1,log_conc_enzyme_z.5.1,log_conc_enzyme_z.1.2,log_conc_enzyme_z.2.2,log_conc_enzyme_z.3.2,log_conc_enzyme_z.4.2,log_conc_enzyme_z.5.2,log_conc_unbalanced_z.1.1,log_conc_unbalanced_z.2.1,log_conc_unbalanced_z.3.1,log_conc_unbalanced_z.4.1,log_conc_unbalanced_z.5.1,log_conc_unbalanced_z.1.2,log_conc_unbalanced_z.2.2,log_conc_unbalanced_z.3.2,log_conc_unbalanced_z.4.2,log_conc_unbalanced_z.5.2,log_conc_unbalanced_z.1.3,log_conc_unbalanced_z.2.3,log_conc_unbalanced_z.3.3,log_conc_unbalanced_z.4.3,log_conc_unbalanced_z.5.3,log_diss_t_z.1,log_transfer_constant_z.1,dgf.1,dgf.2,dgf.3,dgf.4,dgf.5,km.1,km.2,km.3,kcat.1,kcat.2,diss_t.1,transfer_constant.1,drain.1.1,drain.2.1,drain.3.1,drain.4.1,drain.5.1,drain.1.2,drain.2.2,drain.3.2,drain.4.2,drain.5.2,conc_enzyme.1.1,conc_enzyme.2.1,conc_enzyme.3.1,conc_enzyme.4.1,conc_enzyme.5.1,conc_enzyme.1.2,conc_enzyme.2.2,conc_enzyme.3.2,conc_enzyme.4.2,conc_enzyme.5.2,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.3.1,conc_unbalanced.4.1,conc_unbalanced.5.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc_unbalanced.3.2,conc_unbalanced.4.2,conc_unbalanced.5.2,conc_unbalanced.1.3,conc_unbalanced.2.3,conc_unbalanced.3.3,conc_unbalanced.4.3,conc_unbalanced.5.3,conc.1.1,conc.2.1,conc.3.1,conc.4.1,conc.5.1,conc.1.2,conc.2.2,conc.3.2,conc.4.2,conc.5.2,conc.1.3,conc.2.3,conc.3.3,conc.4.3,conc.5.3,conc.1.4,conc.2.4,conc.3.4,conc.4.4,conc.5.4,conc.1.5,conc.2.5,conc.3.5,conc.4.5,conc.5.5,flux.1.1,flux.2.1,flux.3.1,flux.4.1,flux.5.1,flux.1.2,flux.2.2,flux.3.2,flux.4.2,flux.5.2,flux.1.3,flux.2.3,flux.3.3,flux.4.3,flux.5.3,flux.1.4,flux.2.4,flux.3.4,flux.4.4,flux.5.4,keq.1,keq.2,keq.3,keq.4,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yflux_sim.1,yflux_sim.2,yflux_sim.3,yflux_sim.4,yflux_sim.5,log_lik_conc.1,log_lik_conc.2,log_lik_conc.3,log_lik_conc.4,log_lik_conc.5,log_lik_flux.1,log_lik_flux.2,log_lik_flux.3,log_lik_flux.4,log_lik_flux.5
-52.2662,0.804908,0.2,4,15,0,70.5901,1.4175,1.77312,-0.0773209,-0.642705,0.596621,0.908235,-0.296399,-0.852882,-1.2983,-0.0355973,1.46134,0.332458,0.0500367,3.68056,1.29494,0.276543,-0.717524,0.0574332,0.154819,0.17318,-0.984082,1.12398,0.991627,-2.24008,-0.148782,-1.541,-0.154764,-0.387574,-2.49551,1.02104,-0.910242,-0.327543,-1.25037,1.31249,-1.44015,-1.59936,3.87321,-0.889523,-0.244597,-0.250319,1.37333,0.588708,-0.20789,0.374771,0.270166,-0.332548,0.113251,-1550.6,-1372.56,-1304.8,-2042.21,-1959.41,0.17601,0.00773586,0.0238106,183.895,408.901,0.0187131,51.1454,0.00261171,0.427733,0.0259186,0.0379801,0.272376,0.182401,2.03895,1.06849,0.780815,0.724021,0.00967899,0.0270962,0.0182291,0.00934132,0.0137144,0.00380024,0.00962314,0.00792746,0.00643202,0.0115858,1.75216,13.0293,5.42918,2.4464,1.60562,0.613455,1.97064,1.3585,1.03303,1.39804,0.0427567,0.0369864,0.0125706,0.0206526,0.0401406,2.43816,6.89857,3.99419,0.672615,0.83502,0.00321808,0.0400027,0.0121365,0.0107637,0.0063417,1.75216,13.0293,5.42918,2.4464,1.60562,0.613455,1.97064,1.3585,1.03303,1.39804,0.0427567,0.0369864,0.0125706,0.0206526,0.0401406,0.0026117,0.427733,0.0259186,0.0379801,0.272376,0.185013,2.46668,1.09441,0.818794,0.996396,0.182401,2.03895,1.06849,0.780814,0.72402,0.185013,2.46668,1.09442,0.818794,0.996396,0.00230828,3811.9,2.14717e-272,2.14717e-272,2.76731,8.78543,5.17576,0.508241,1.46229,0.187052,2.46111,1.08525,0.799318,1.0264,-5.98947,-2.39209,-0.978071,0.205628,0.0572384,4.37736,3.9516,1.02796,2.81444,1.11601
-46.4511,0.698047,0.178561,4,15,0,72.8484,1.90845,0.238688,0.529588,0.0623559,0.138964,0.752277,-0.0516891,1.3317,-0.808285,-0.140259,1.24638,-0.0670005,0.44531,2.87083,0.0377118,-0.258607,-0.0487048,-0.771462,-0.377222,-0.78516,-2.20317,0.718631,1.84039,-1.56854,-0.00960588,-1.38252,0.680844,-0.196001,-2.10255,-0.827668,-0.203634,1.07376,-1.28201,1.35141,-0.246852,-2.7332,3.41302,-1.21487,0.288697,-1.51053,0.981861,-0.364252,-0.847312,0.373249,0.15422,-0.188987,1.01067,-1549.42,-1377.01,-1304.01,-2032.76,-1965.54,0.149122,0.00695499,0.0196576,165.229,467.425,0.0192582,61.2006,0.00221096,0.433476,0.119435,0.0529566,0.267158,0.181518,2.02957,1.0921,0.774751,0.670805,0.00839533,0.0255073,0.0222169,0.00974274,0.0140648,0.00386941,0.0113939,0.00814298,0.00657185,0.00812807,2.00201,19.4141,5.4076,2.46484,2.38447,0.49128,1.81418,1.30438,1.09108,1.04596,0.0393951,0.0320115,0.0114856,0.020649,0.0389665,1.90857,7.4564,4.25424,0.696839,1.0462,0.00222266,0.0169131,0.00917866,0.00725031,0.00644395,2.00201,19.4141,5.4076,2.46484,2.38447,0.49128,1.81418,1.30438,1.09108,1.04596,0.0393951,0.0320115,0.0114856,0.020649,0.0389665,0.00221096,0.433476,0.119435,0.0529565,0.267158,0.183729,2.46305,1.21153,0.827706,0.937962,0.181518,2.02957,1.0921,0.774749,0.670804,0.183729,2.46305,1.21154,0.827706,0.937962,10.2534,393.62,3.45388e-272,3.45388e-272,2.1702,6.40882,6.76561,0.534845,1.32157,0.188011,2.47129,1.23466,0.827494,1.01185,-3.77093,-1.51142,-1.00965,0.369206,-0.304691,3.85011,4.15146,1.34215,2.83794,1.58424
-39.233,0.992033,0.0812112,6,63,0,69.1412,-1.43043,0.144195,0.634978,-0.663387,-0.348139,0.911511,-0.33857,-0.441065,-0.104999,-0.196786,1.45871,0.364311,0.892248,-1.31265,0.335145,1.02839,0.759399,0.925515,0.813924,0.0807127,-1.56307,2.93612,-0.469843,1.94353,-0.772708,1.66474,0.0788261,1.28054,1.89154,0.561914,-1.32707,1.22639,1.21146,-0.0550515,-1.77712,-1.68434,-0.966728,1.35672,-0.642938,0.964704,-1.27187,-0.310941,-0.252851,-1.57249,-1.02621,0.337078,0.0155195,-1557.43,-1377.28,-1303.87,-2042.49,-1972.07,0.209382,0.00882588,0.0233743,213.734,549.418,0.0213948,50.1554,0.00262012,0.426743,0.0435474,0.0744512,0.26434,0.18239,2.0397,1.11879,0.74342,0.683395,0.00904654,0.0355002,0.0129666,0.0121408,0.0122479,0.00547359,0.0100884,0.0100131,0.00817755,0.0106095,1.61965,20.2759,7.40223,1.87898,1.43596,0.603327,0.825593,1.79867,0.991687,1.84929,0.0245871,0.0322713,0.0124911,0.0164863,0.0288029,2.07753,7.92002,4.13071,0.860969,0.966036,0.00153227,0.0187404,0.00626158,0.00520201,0.00453823,1.61965,20.2759,7.40223,1.87898,1.43596,0.603327,0.825593,1.79867,0.991687,1.84929,0.0245871,0.0322713,0.0124911,0.0164863,0.0288029,0.00262012,0.426743,0.0435474,0.0744511,0.26434,0.18501,2.46644,1.16234,0.81787,0.947734,0.18239,2.0397,1.11879,0.743419,0.683394,0.18501,2.46644,1.16235,0.817882,0.947734,3.33139,8933.4,1.36256e-273,1.36256e-273,1.81615,8.81977,4.06137,0.558371,0.564585,0.188216,2.47436,1.14839,0.817107,0.918054,-4.48717,-1.1094,-0.987933,0.781535,-0.154599,4.37656,3.97533,2.32166,2.80353,1.54401
-39.6736,0.98785,0.070506,6,63,0,60.0878,1.40015,-0.536556,-0.770484,-0.382402,-0.13159,2.10102,-1.22206,-0.510371,-0.377283,0.464523,1.32005,0.731056,0.835854,1.14665,-0.277319,0.81872,-0.458766,0.637841,-0.293483,-0.47024,-2.29114,0.318778,0.743212,-1.01891,-0.0373861,-1.04218,-1.04965,-0.992127,-0.788607,0.514678,-1.55697,2.33571,-1.53323,1.56314,-0.348312,-0.328723,1.61368,-0.336519,-0.5994,-1.65532,0.0141456,2.61787,1.00931,0.946752,0.824108,-1.13229,0.0500373,-1550.64,-1379.26,-1305.7,-2038.72,-1969.16,0.197675,0.00707245,0.0209355,204.957,430.62,0.0159471,50.5029,0.00567665,0.406009,0.0405806,0.0661293,0.297309,0.181821,2.04831,1.11542,0.761838,0.65747,0.00830957,0.0240313,0.0172036,0.0100841,0.0139941,0.00402224,0.00803079,0.00728404,0.00706185,0.0105139,1.55091,27.8028,5.23921,2.56763,2.30563,0.786816,1.31284,1.45569,0.996123,1.01167,0.032176,0.0503069,0.0149273,0.0220657,0.0462571,2.17402,8.18104,3.44193,0.799513,0.990671,0.00254137,0.0511824,0.012219,0.007833,0.00559486,1.55091,27.8028,5.23921,2.56763,2.30563,0.786816,1.31284,1.45569,0.996123,1.01167,0.032176,0.0503069,0.0149273,0.0220657,0.0462571,0.00567665,0.406009,0.0405806,0.0661292,0.297308,0.187497,2.45432,1.156,0.827966,0.954778,0.181821,2.04831,1.11542,0.761837,0.657469,0.187495,2.45431,1.156,0.827987,0.95478,5.00807,259.97,2.1114e-272,2.1114e-272,2.62728,8.24834,3.4417,1.12973,2.05963,0.182101,2.4527,1.12604,0.825478,0.907466,-4.89324,-0.994811,-1.12527,0.747395,-0.199397,4.87532,3.25852,2.33079,2.83639,1.50553
-42.2733,0.992248,0.0639524,6,63,0,70.6783,-1.61911,0.522267,0.832776,0.201969,0.110597,0.00010515,1.0757,0.837074,-0.57858,-0.411245,2.16225,-0.788085,-0.432793,-1.23793,0.38354,0.280597,0.415341,-0.117982,0.758804,0.480708,0.591497,2.52935,-0.171234,1.63099,-1.62561,1.02035,1.12704,0.879205,0.812767,-0.383705,-1.17276,0.56233,1.77679,-0.585078,-1.21314,-2.38011,0.21322,0.513691,1.16509,0.830541,-0.0506684,-2.49195,-0.984651,-0.983654,-0.822104,0.656436,0.428797,-1557.89,-1376.19,-1303.62,-2030.89,-1965.92,0.169942,0.00872911,0.025321,184.044,512.883,0.0228059,54.4772,0.000278208,0.459934,0.0982612,0.0599771,0.253649,0.18528,2.01264,1.03966,0.743979,0.685443,0.011633,0.0334115,0.0139013,0.0119053,0.0104936,0.0050865,0.0124693,0.00946597,0.00770871,0.00885025,1.6675,16.7844,7.94837,1.69631,1.73107,0.52646,1.02066,1.61884,1.19366,1.79305,0.0317428,0.0231865,0.0112651,0.0176487,0.0303481,2.5581,7.07508,4.41251,0.901262,0.811969,0.00193896,0.0159606,0.00775175,0.00646314,0.00660478,1.6675,16.7844,7.94837,1.69631,1.73107,0.52646,1.02066,1.61884,1.19366,1.79305,0.0317428,0.0231865,0.0112651,0.0176487,0.0303481,0.000278208,0.459934,0.0982612,0.059977,0.253648,0.185558,2.47258,1.13792,0.803956,0.939091,0.18528,2.01264,1.03966,0.743979,0.685442,0.185558,2.47258,1.13792,0.803956,0.939053,21.3899,16689.7,1.13506e-273,1.13506e-273,3.01981,7.34479,4.02144,1.06855,1.8116,0.189152,2.46589,1.10803,0.789986,0.78163,-6.47864,-2.06119,-1.05352,0.743284,0.0886637,4.54562,2.91312,2.20996,2.4467,1.58038
-45.4833,0.993033,0.0606755,6,63,0,69.7598,2.46491,0.152228,-1.39819,-1.85467,-1.5672,1.38201,-0.00263175,2.01809,0.505919,-0.230577,0.924269,-0.439172,-0.810116,-0.229524,1.17379,0.775211,-0.502144,-0.207255,1.21968,0.837217,-1.19147,0.345071,0.346735,0.420595,1.02017,-0.534899,-1.17134,-0.946531,1.27038,-0.201777,-2.28241,1.50555,-0.608713,0.122062,-0.184737,-1.70394,2.23607,0.411939,-0.664342,-1.21429,1.549,1.49946,-1.81096,1.31851,-1.5381,0.437748,0.819848,-1548.08,-1377.26,-1306.52,-2058.45,-1988.4,0.166935,0.00957197,0.0271924,203.181,426.9,0.0218299,58.9089,0.0038291,0.434627,0.148817,0.0931227,0.262656,0.180195,2.02084,1.01712,0.751532,0.718893,0.00944753,0.0241257,0.0156851,0.0110359,0.016951,0.00426131,0.00783566,0.00733069,0.00790421,0.00916441,1.35254,21.9525,5.88605,1.94431,2.43407,0.601016,1.46825,1.59839,0.989513,1.11979,0.0443571,0.0424619,0.0100248,0.0230356,0.0252649,1.72947,7.31961,3.68477,0.673457,1.51491,0.00306034,0.0750575,0.0161468,0.00907955,0.00910713,1.35254,21.9525,5.88605,1.94431,2.43407,0.601016,1.46825,1.59839,0.989513,1.11979,0.0443571,0.0424619,0.0100248,0.0230356,0.0252649,0.00382909,0.434627,0.148817,0.0931226,0.262655,0.184024,2.45546,1.16594,0.844653,0.981548,0.180195,2.02084,1.01712,0.75153,0.718893,0.184024,2.45546,1.16594,0.844653,0.981548,1.32032,207.571,5.91956e-272,5.91956e-272,2.67872,7.63445,3.00588,0.651975,1.55522,0.182687,2.43777,1.07007,0.909284,0.938672,-3.00845,-1.6841,-1.01918,0.211875,-1.31891,3.9875,3.4861,2.30457,2.47396,1.2868
-49.9419,0.938093,0.0589461,6,63,0,76.3816,1.87704,0.260069,-1.2294,-1.62126,-1.63061,1.09557,0.849835,2.42372,0.747089,-0.680407,1.28978,-0.169269,-0.731355,-0.592481,0.640987,0.738651,-0.407197,-0.138439,1.49908,0.780052,-0.96434,1.42373,0.903145,-0.0494265,0.948526,-0.717456,-1.16253,-1.20395,0.993812,-0.41328,-2.18022,2.13396,-0.851251,0.874271,-0.0827994,-1.905,1.60067,-0.114677,-0.788081,-0.69972,1.78558,1.6566,-1.47107,1.31888,-1.51082,0.248499,1.41224,-1549.5,-1376.95,-1306.3,-2055.32,-1989.25,0.169248,0.0101221,0.0268833,201.701,435.084,0.0210191,66.3186,0.00309308,0.454633,0.166181,0.100494,0.24023,0.181696,2.02717,1.02183,0.748813,0.69634,0.00970132,0.0283344,0.017857,0.0107156,0.0167323,0.00417368,0.00784964,0.00707118,0.00778547,0.00880021,1.37887,26.2514,5.70901,2.24803,2.5177,0.577806,1.30977,1.4966,0.977039,1.26062,0.0466073,0.0434855,0.0105175,0.0230366,0.025442,1.37141,8.17571,3.13276,0.571606,1.4632,0.00304552,0.071476,0.0169112,0.008996,0.00870532,1.37887,26.2514,5.70901,2.24803,2.5177,0.577806,1.30977,1.4966,0.977039,1.26062,0.0466073,0.0434855,0.0105175,0.0230366,0.025442,0.00309308,0.454633,0.166181,0.100493,0.24023,0.184789,2.48181,1.18801,0.849305,0.93657,0.181696,2.02717,1.02183,0.748812,0.69634,0.184784,2.48181,1.18801,0.849305,0.93657,6.32683,416.057,3.35039e-272,3.35039e-272,1.00524,7.93447,2.18182,0.441691,2.91087,0.183365,2.47623,1.15666,0.863244,0.897223,-1.50844,-0.996414,-1.37913,-0.895775,-1.20157,4.29881,-0.486665,2.01142,2.28033,1.58873
-49.4809,0.999586,0.0489643,6,63,0,75.4132,0.396098,-1.02686,0.571565,0.942991,2.52837,0.500311,-0.702922,-0.232569,-0.549115,0.525004,2.11773,1.34899,2.35,0.650069,-0.249342,0.548842,0.60668,1.26374,0.302832,-1.1619,-0.714707,2.01682,0.267392,-0.82642,-1.21842,-0.247397,0.323196,0.346318,-0.505972,-0.00970601,-1.01284,2.70439,0.993281,1.21678,-1.9004,-1.04949,0.0141312,-0.945357,0.946269,0.462689,-1.85115,-1.56202,0.286523,-0.91242,1.0367,-0.465737,-0.30011,-1553.05,-1380.68,-1303.96,-2020.96,-1933.52,0.224035,0.00796829,0.0182308,194.187,532.89,0.0182212,47.0872,0.00156352,0.418192,0.0524726,0.0608776,0.300324,0.185098,2.06282,1.20585,0.758119,0.658654,0.00998813,0.0309537,0.0153977,0.0102065,0.0112973,0.00440306,0.0105992,0.00878539,0.00717194,0.0095082,1.71857,30.8785,7.20163,2.40163,1.37847,0.683217,0.984779,1.34905,1.16718,1.64744,0.0217813,0.0266965,0.0134793,0.0177947,0.0488447,2.33539,9.25827,2.80168,0.783384,0.532871,0.00157569,0.0142809,0.00670116,0.00497225,0.00425598,1.71857,30.8785,7.20163,2.40163,1.37847,0.683217,0.984779,1.34905,1.16718,1.64744,0.0217813,0.0266965,0.0134793,0.0177947,0.0488447,0.00156352,0.418192,0.0524726,0.0608775,0.300323,0.186661,2.48101,1.25832,0.818996,0.958976,0.185097,2.06282,1.20585,0.758118,0.658653,0.186661,2.48101,1.25832,0.818996,0.958976,0.0132217,387.253,7.98699e-273,7.98699e-273,2.70858,10.8036,2.92858,0.852449,0.410475,0.184146,2.48367,1.30293,0.827193,1.10274,-5.56589,-1.20957,-1.84205,0.717157,0.201194,4.7846,-0.107286,-1.08333,2.81661,1.47881
-49.6713,0.997941,0.0496738,6,63,0,73.3864,-0.477002,0.879234,-0.929224,0.571466,0.945419,-0.160005,0.421173,-1.20271,-1.33754,-1.79461,1.51251,0.00594351,-0.519563,-0.0542358,-0.484103,1.47516,0.422621,1.3045,1.51163,0.942486,-1.93979,1.04774,0.96507,-0.030657,-0.371014,-0.121097,0.994297,1.00451,-0.173706,0.806307,0.207752,1.87068,1.68284,2.13983,-1.58832,-2.34289,2.11783,0.79215,0.624501,1.13811,-0.600802,-1.88986,-0.03497,-0.201155,1.2345,-0.197682,1.19857,-1555.14,-1375.15,-1305.91,-2025.94,-1954.73,0.225869,0.0101475,0.027771,233.711,513.63,0.0192247,63.5443,-0.000133206,0.444573,0.0109435,0.036781,0.184683,0.182611,2.03129,1.03448,0.752844,0.648717,0.0086574,0.02679,0.0181167,0.0107282,0.0131729,0.00446681,0.0121391,0.00963351,0.00730355,0.0111185,2.16357,24.3564,7.85489,2.86986,1.52868,0.530312,1.43737,1.67616,1.1293,1.92462,0.0282924,0.0254022,0.0128812,0.0193212,0.0513819,1.4896,6.9701,5.22073,0.873551,0.96731,0.00239965,0.0182905,0.00743914,0.00740348,0.00474521,2.16357,24.3564,7.85489,2.86986,1.52868,0.530312,1.43737,1.67616,1.1293,1.92462,0.0282924,0.0254022,0.0128812,0.0193212,0.0513819,-0.000133206,0.444573,0.0109435,0.036781,0.184683,0.182478,2.47586,1.04542,0.789624,0.833399,0.182611,2.03129,1.03448,0.752843,0.648717,0.182478,2.47586,1.04542,0.789574,0.833399,0.451932,8386.48,3.42971e-273,3.42971e-273,1.32924,6.72239,5.23057,0.920987,2.92321,0.185471,2.48528,1.03935,0.777531,0.842281,-1.99549,-2.25177,-1.49762,0.774308,-0.156883,3.15959,1.95256,-1.81037,1.70171,1.05773
-38.0645,0.999841,0.0505387,6,63,0,75.2646,-0.11583,0.210365,0.108505,-0.368334,0.508462,1.28656,0.276142,-0.98886,-0.606624,-0.943342,0.95553,-0.679435,0.702543,-1.37111,-0.0706627,1.38044,0.555983,1.27008,0.420564,0.775589,-1.32669,0.600638,-1.0657,-1.06017,-1.2547,0.313204,0.167574,0.664756,-1.21661,0.406674,0.652073,1.46611,0.741695,0.376745,-1.02713,-3.06368,2.21905,-0.292826,-0.559819,0.473326,0.275175,-0.158273,1.40879,1.44732,0.886557,-0.51327,0.326751,-1554.28,-1377.09,-1304.56,-2038.54,-1960.59,0.22432,0.00815814,0.0268593,229.326,527.514,0.0180488,53.3766,0.00358383,0.44117,0.0200977,0.0591199,0.227122,0.180323,2.0152,1.10746,0.742982,0.666217,0.0092996,0.0250626,0.0112852,0.0100581,0.0112233,0.00469316,0.010271,0.00918597,0.00689835,0.0102984,2.35274,21.7075,6.97706,2.04225,1.84114,0.460484,1.46376,1.46365,1.00017,1.65148,0.0339817,0.0330268,0.0157933,0.0233815,0.0470026,2.08017,7.75452,2.35439,0.644987,0.967228,0.00215534,0.0222763,0.00814526,0.00759422,0.00528603,2.35274,21.7075,6.97706,2.04225,1.84114,0.460484,1.46376,1.46365,1.00017,1.65148,0.0339817,0.0330268,0.0157933,0.0233815,0.0470026,0.00358382,0.44117,0.0200977,0.0591198,0.227122,0.183907,2.45637,1.12756,0.802101,0.893338,0.180323,2.0152,1.10746,0.742981,0.666217,0.183907,2.45637,1.12756,0.802101,0.893338,0.112394,2703.14,4.86547e-273,4.86547e-273,1.69038,7.40123,2.00198,0.656026,1.36171,0.186393,2.46361,1.15394,0.802127,0.793931,-4.4983,-1.2222,-2.91226,-0.0234001,-0.156738,3.93428,3.64187,2.04272,2.37186,1.57366
